subjID	ppt	group
1	5cb632bab9c4860001700fe6	B
2	613aa8f8ec61d5c59ccde742	B
3	60da500d50009552f58edd4c	B
4	5f30c06d1cdf4953b62ae475	B
5	613aa8f8ec61d5c59ccde742	B
6	613aafc5b391654fb9800599	B
7	5d28f05b1d8d93001ec26134	A
8	5e7bb30e3f9fe31d223a0f04	A
9	5f773f5c429e260d39fa39e8	A
10	5f773f5c429e260d39fa39e8	A
11	5efd2d68e921d21715e2ad38	A
12	615efc771b4fdee33a42f5d6	A
13	60dc819d58acea32a86cb050	B
14	604092168305452a726e70bb	B
15	5b780f891c89e50001d6e8b1	B
16	5f359a0aa0b9125a3c6b8fff	B
17	5cf101ea48405a0018415d09	B
18	61272112a45a9698f73a2070	B
19	60ddd06d5358cdcab4a3c82c	B
20	60dca1012ab07b005628136f	B
21	615244aaae26aee9b4c62b28	B
22	613deb9699b6548d579560ce	B
